,true_score,fake_score,true-fake
289,0.027783334,0.031304616,-0.0035212822
290,0.020775681,0.017536417,0.0032392647
291,0.009265006,0.008106433,0.0011585727
292,0.009265006,0.008106433,0.0011585727
293,0.015089694,0.012468491,0.0026212037
294,0.028966585,0.007747006,0.02121958
295,0.06544507,0.04268849,0.022756584
296,0.0390744,0.031739853,0.0073345453
297,0.0390744,0.031739853,0.0073345453
298,0.037693992,0.010705636,0.026988357
299,0.016092312,0.015900714,0.00019159727
300,0.013453479,0.00872882,0.004724659
301,0.036104336,0.027482538,0.008621799
302,0.029193388,0.014983243,0.014210145
303,0.029193388,0.014983243,0.014210145
304,0.028000306,0.028618474,-0.0006181672
305,0.015238351,0.022316048,-0.0070776967
306,0.027060298,0.019609747,0.007450551
307,0.022526938,0.02064348,0.0018834583
308,0.028646408,0.012591125,0.016055282
309,0.028646408,0.012591125,0.016055282
310,0.017711034,0.015568974,0.0021420596
311,0.06234332,0.058705397,0.0036379248
312,0.009107366,0.008911976,0.00019539054
313,0.021002473,0.013515272,0.007487201
314,0.021002473,0.013515272,0.007487201
315,0.030779945,0.024443377,0.006336568
316,0.036522027,0.034168325,0.0023537017
317,0.013352113,0.008414647,0.0049374662
318,0.0140796825,0.019606547,-0.005526865
319,0.009411804,0.0070228963,0.002388908
320,0.009411804,0.0070228963,0.002388908
321,0.017125856,0.014997217,0.0021286393
322,0.06390137,0.0645372,-0.0006358251
323,0.013937817,0.010103158,0.0038346592
324,0.030748302,0.025816489,0.004931813
325,0.01337999,0.010743095,0.0026368955
326,0.01337999,0.010743095,0.0026368955
327,0.010598105,0.012956941,-0.0023588352
328,0.014835519,0.025998594,-0.011163075
329,0.02085987,0.015657796,0.0052020736
330,0.0137555925,0.00876028,0.0049953125
331,0.014301829,0.019873478,-0.0055716485
332,0.014301829,0.019873478,-0.0055716485
333,0.11908316,0.0947073,0.024375856
334,0.01341294,0.011501348,0.0019115927
335,0.01152246,0.010409411,0.0011130488
336,0.029641405,0.022052146,0.0075892583
337,0.0131946625,0.015147613,-0.0019529508
338,0.0131946625,0.015147613,-0.0019529508
339,0.016580606,0.018590208,-0.0020096023
340,0.022057017,0.02142528,0.0006317366
341,0.00935255,0.007579305,0.0017732447
342,0.014473823,0.018504266,-0.004030443
343,0.016642476,0.028343648,-0.011701172
344,0.016642476,0.028343648,-0.011701172
345,0.011044765,0.0076549985,0.0033897664
